t,Epo_Obs,Epo_EpoR_i_Obs,dEpo_i_Obs
0,1002.43305912143,5.09218158744909,-1.49537671517882
25,NaN,119.287483384415,NaN
30,628.648811953292,NaN,NaN
35,NaN,NaN,6.14447311522249
50,NaN,177.359723298128,NaN
60,475.382547155071,NaN,NaN
75,NaN,187.095519677181,25.7680030461246
90,401.639958009808,NaN,NaN
100,340.347476898444,185.917881500854,34.2308872761645
150,235.520159391034,156.351162840208,57.0353197463587
200,138.240438689774,116.344236453694,75.2915508288033
250,81.3750247221516,76.8999891904796,87.613656656637
300,49.8524012086483,52.3147308216499,NaN
350,NaN,27.4464052774797,102.866212551858
400,10.1665304205474,25.678230462654,106.805967085415
450,14.0911906144934,NaN,NaN
500,NaN,7.92439218690872,NaN
550,NaN,NaN,110.391018608068
600,-2.61671547104757,NaN,NaN
650,NaN,NaN,111.074618249134
