t,Naive_Obs,EarlyEffector_Obs,Memory_Obs,Pathogen_Obs
0,6309.59448029717,0,-796.87623363952,1.53300960295723
2,3312.92904082302,82.425693582254,NaN,0.727399915751366
3.5,1770.07372570743,299.161248158006,NaN,NaN
4,NaN,NaN,-48.0318671585604,1.32622693963836
5.5,NaN,322.910671408779,NaN,NaN
6,988.100307374606,NaN,NaN,1.60244662344001
8,199.416943280649,638.443699620561,386.250772467602,2.98512239947679
10,128.660687411123,1770.91990652955,-781.646818940216,2.92977219848195
15,33.9450325870985,62137.1036366813,2744.03358576213,5.87140795585966
20,14.8985269296915,7273.88158868789,8037.72398620244,0.837175674218238
30,NaN,NaN,11783.2451098012,NaN
35,NaN,NaN,11606.8554430129,NaN
45,NaN,NaN,13217.1663402454,NaN
55,NaN,NaN,14411.4629372616,NaN
70,NaN,NaN,13154.1216171125,NaN
