t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA3_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,-0.00493052885162526,0.019328415110566,-1.11805774594811,18.7607887509193,-7.26209942963297,-0.00463236427933781,0.000279073060609941,0.000135627062837123,0.000203141906461529,0.379642379007313,0.226258605636498
5.5,0.0622474241356184,0.303279245332899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,47.8189428742125,57.3884079199779,NaN,NaN,NaN,NaN,0.305570478747615,NaN
8.5,NaN,NaN,6.3755392874277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.158604034489676
10,0.033116453231219,0.105563191559873,NaN,NaN,NaN,-0.00888333718222415,0.000303751957807809,NaN,0.000110176108114203,NaN,NaN
15,0.0201566594259363,NaN,4.5105564595934,108.513563807484,92.6114058512051,NaN,NaN,0.00016635706905077,NaN,0.184801553091756,NaN
20,NaN,0.0540979892103319,NaN,NaN,NaN,0.00447756267345571,NaN,NaN,NaN,NaN,7.73753243609214
25,0.0104690789672796,0.0692177962746526,9.05417724855115,232.225889731524,31.496635848718,NaN,0.000785160038843021,NaN,0.000911885442460081,0.84214799490047,NaN
30,0.00482616222771722,0.0347172817598551,NaN,NaN,NaN,NaN,NaN,0.000837572488178869,NaN,NaN,10.3611665824273
35,NaN,NaN,12.9464056632198,176.375082873499,246.942680619889,0.0228744042070704,0.00103180141955473,NaN,0.000695758900649143,-0.31373754477987,NaN
40,0.00884609211235267,0.0445199212143898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4567779348934
45,NaN,NaN,10.9513235431542,425.666413897595,361.873416533989,0.020590586351708,NaN,0.00112766920798901,NaN,1.62250680745879,NaN
50,0.0112180340430593,0.0223402052711522,NaN,NaN,NaN,NaN,0.00112489603637602,NaN,0.000906562894663747,NaN,10.6432348064409
55,NaN,NaN,NaN,484.634887946229,418.643365118632,NaN,NaN,NaN,NaN,NaN,NaN
60,0.0103880956487691,0.0363693424710951,12.4217333705554,NaN,NaN,0.0341658731325415,NaN,NaN,NaN,4.62003528254516,NaN
65,NaN,NaN,NaN,340.615030546944,241.45283117373,NaN,0.000829488118809787,0.000805459528051618,0.00106954055003166,NaN,12.7285193717111
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.33488905381197,NaN
75,-0.00242214038233615,0.0446469093746828,10.8156674439851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,342.084884822005,356.524776441242,0.0564158636256951,0.00076257009305073,NaN,0.000771845497524332,NaN,9.18187027701806
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000925919640928187,NaN,NaN,NaN
90,0.00598007726322248,NaN,9.17156233016328,NaN,NaN,NaN,NaN,NaN,NaN,6.8456429111568,NaN
95,NaN,-0.000771155086135839,NaN,361.827502767841,345.725281943509,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,10.2308855076258,349.750128656263,388.469127585888,0.0546507840817068,0.000950675521083618,0.000946190611559544,0.000901137588523526,7.50188577492003,9.97875845576997
150,NaN,NaN,6.99974132910126,229.478146691017,221.830378691063,0.0455621071935427,0.000443293297361377,0.000904565238495773,0.000502455070216439,9.33868654154793,4.11175124630475
200,NaN,NaN,5.28340020025905,153.117576613681,218.320794191068,0.0420230654934427,0.00050308958721223,0.000441842962258332,0.000662685509362373,NaN,4.18345420525577
