t,p1EpoRpJAK2_Obs,SOCS3_Obs
0,0.0143215158906189,-3.61843788899262
7,0.225822492667551,NaN
10,NaN,-0.611025770215504
15,0.12508828494863,NaN
20,0.0718499651143162,6.50679365825024
30,0.0625674231235067,NaN
35,NaN,3.05582351258848
40,0.025821674022496,NaN
45,NaN,7.76660526036889
50,0.0473937768683049,NaN
60,0.00433561454898907,8.19027065480805
75,0.0209930663494595,NaN
80,NaN,17.5192117120695
95,0.00182137006094407,NaN
100,0.0316680171583192,23.2543759810171
150,NaN,24.131962537394
200,NaN,27.0423772092932
