t,epo_level,p1EpoRpJAK2_Obs,SOCS3_Obs
7,2.5e-09,0.0145773172016835,-9.25268289803544e-06
7,2.5e-09,0.0344165763702776,-0.000687664193058042
7,2.5e-09,0.0715608226091753,0.000411008778922925
7,2.5e-08,0.0119692703208084,-0.0015502167983999
7,2.5e-08,0.0477869851391919,-0.000573752191285276
7,2.5e-08,0.0849288527085051,-0.000221743464521776
7,2.5e-07,0.10861646344222,0.00167049228044734
7,2.5e-07,0.117671439947245,0.000189940117458369
7,2.5e-07,0.151083634263265,0.00184676872110929
7,2.5e-06,0.270027678238513,0.00518314959302344
7,2.5e-06,0.292562700690388,0.00647941461037177
7,2.5e-06,0.305891328390821,0.00656350568995726
7,2.5e-05,0.311830243622203,0.0100870551473737
7,2.5e-05,0.336515814769999,0.00808125584184033
7,2.5e-05,0.338850032427787,0.0103555068797463
