t,p1EpoRpJAK2_Obs,SHP1_Obs,CISnRNA3_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,0.000172348618710316,43.7107844967776,-7.91959203654048,-9.46706763004955e-05,122.608663106555,-0.296405328220718
10,0.0578912328516944,NaN,-7.41831684518097,NaN,NaN,NaN
15,NaN,41.7990393377054,NaN,2.33725285933108e-05,121.033813215811,0.447960589255819
20,0.0298125763193732,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,15.0336724904277,NaN,76.5541470007072,1.75650245338107
30,NaN,47.5019020790456,NaN,NaN,NaN,NaN
35,0.00796624976612881,NaN,NaN,6.75407473460413e-05,NaN,NaN
40,NaN,NaN,21.6842012339777,NaN,93.1210293598411,2.07522712254722
45,0.00952729365412095,35.7470121736712,NaN,NaN,NaN,NaN
50,NaN,NaN,58.7055879844265,0.000185311428834356,NaN,NaN
55,NaN,NaN,NaN,NaN,113.180621300546,2.56042617703876
60,0.00725500108889307,NaN,NaN,NaN,NaN,NaN
65,NaN,43.8848882705576,NaN,NaN,NaN,NaN
70,NaN,NaN,63.5667912034143,0.000202213131965812,NaN,2.78852385831583
75,NaN,NaN,NaN,NaN,167.626198964735,NaN
80,0.001339285303848,NaN,NaN,NaN,NaN,NaN
85,NaN,39.6102914557292,97.4925785890788,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,2.47181801827927
95,NaN,NaN,NaN,0.000225002683695009,77.9684462477306,NaN
100,0.0071793569090517,43.2095613007422,83.0754886122911,0.000245731854096918,80.4313749243307,2.3311898857947
150,0.00206619166139269,48.7014107251838,98.3317598134184,0.000207639835239062,138.298359524165,2.51334108677377
200,NaN,55.7880113044104,71.9896082358864,0.000194329306967559,127.077230103122,1.35170874786341
250,NaN,37.937220707761,63.5841208694424,0.000158318867386629,76.0509901468756,2.26980519356773
300,NaN,41.0919796465661,63.7413195241992,0.000152443757128665,114.052879340093,1.76485454409946
