t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA3_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,0.000879008645338734,0.0456303402694714,-3.0727859402924,-14.616088994661,-42.6305178634442,-0.0118794592096144,0.000258358444384497,8.56689920686857e-05,0.000299836519586434,-0.894947086228654,-2.69698058046614
7.5,NaN,0.597969183626862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.100879292940622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,-41.1855494524999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,-75.8397952688076,NaN,NaN,NaN,NaN,-0.607915011393419,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9945282184833
10,NaN,NaN,13.5282642924256,NaN,NaN,-0.00813715556584556,0.000815906994112244,NaN,0.000159054895399236,NaN,NaN
15,0.0677932995987131,0.203384671576026,NaN,163.691647970536,NaN,NaN,NaN,0.000185868086636955,NaN,NaN,NaN
20,NaN,NaN,13.2092363472858,NaN,57.5318253442249,-0.00721518349029533,NaN,NaN,NaN,-1.32609416664487,9.56256246371236
25,0.0464477167577635,0.208126894352761,NaN,285.470732318008,NaN,NaN,0.00128737952878941,0.0011639152293221,0.001234269489432,0.531846021599689,NaN
30,NaN,0.143447814431727,NaN,NaN,230.227689359372,0.0122935467859157,NaN,NaN,NaN,NaN,26.6225566101455
35,0.0243708468986597,NaN,20.6471494045257,512.41882577374,NaN,NaN,0.00157606151055712,NaN,NaN,NaN,NaN
40,NaN,0.136081091671541,NaN,NaN,576.251722774711,NaN,NaN,0.00154523233692522,0.00179508912962716,4.1433613360756,20.6314714826271
45,0.0144174600721603,NaN,17.7475247762326,587.098662079892,NaN,0.0226300419043308,NaN,NaN,NaN,NaN,NaN
50,NaN,0.142173315236214,NaN,NaN,560.407409881733,NaN,0.00189740536100996,NaN,NaN,5.397381015244,14.9314797486401
55,0.01574695377367,NaN,NaN,581.16198589481,NaN,0.0811212221056542,NaN,0.00141046413480003,0.00175317852605782,NaN,NaN
60,NaN,0.0604856681214769,23.3052074252257,NaN,NaN,NaN,NaN,NaN,NaN,5.50680477927323,NaN
65,NaN,NaN,NaN,NaN,721.522336454555,NaN,0.00135082665567908,NaN,NaN,NaN,16.866600120445
70,0.0116212398128382,NaN,NaN,635.831647635065,NaN,0.103281991669347,NaN,0.00177748993172108,0.001341445984657,NaN,NaN
75,NaN,0.00615744812076614,24.7136268190076,NaN,NaN,NaN,NaN,NaN,NaN,7.52606377131247,NaN
80,NaN,NaN,NaN,NaN,627.820623000084,NaN,0.00167330619099008,NaN,NaN,NaN,21.3334199117511
85,0.0102670210388433,NaN,NaN,581.006345164649,NaN,0.107989845238468,NaN,NaN,NaN,NaN,NaN
90,NaN,0.124356587750179,NaN,NaN,NaN,NaN,NaN,0.00151612835744236,0.00154758570164211,9.33609158397412,NaN
95,NaN,NaN,17.4618739763706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0232134978713023,0.0344747567343116,19.215932444218,420.69836382882,657.708065018656,0.07840925796751,0.00139004703184636,0.00158432134000492,0.0020668229808071,10.0559207619701,16.2447618795497
150,0.0062562670763051,0.0198218765389789,12.6073864409611,387.419547718955,496.110204648959,0.056747633887546,0.000644668768569756,0.000922456323628311,0.00069516604049126,13.5041515926411,11.695415460132
200,NaN,NaN,8.24119056034037,343.452517514767,392.336988762055,0.0332592486117468,0.000617976507808971,0.000646902481203198,0.000606466630059517,16.0818183976881,4.46221555768532
