t,epo_level,CISnRNA3_Obs,Compound_1_Obs
130,2.5e-09,7.79026414921061,3.31730439469539
130,2.5e-09,85.6260450948082,-0.059814242515567
130,2.5e-09,196.975245611379,1.06841918800768
130,2.5e-08,167.079977917844,8.43319321841756
130,2.5e-08,362.442066412973,9.91571695876285
130,2.5e-08,422.994761955507,9.68925230654906
130,1.25e-07,360.459857634698,14.0474020612747
130,1.25e-07,491.742567757305,13.9456625649985
130,1.25e-07,642.273034053863,18.3207042283251
130,2.5e-07,513.435665667821,15.9623308735729
130,2.5e-07,525.777530036335,16.4543416980034
130,2.5e-07,594.163337301312,20.2977765429248
130,2.5e-06,702.431399522057,22.0181933498565
130,2.5e-06,726.912524206305,27.2647034164058
130,2.5e-06,740.365753147503,22.6092974359765
