t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs,pSTAT5_Obs,Compound_1_Obs
0,7.4455687116235,-0.0259843979264329,0.000924124608907102,-0.00248828951069898,0.00198978286805565,32.3036590625492,110.123319691026,0.308340791511296,8.00610329925096,-59.011065189011,151.631201212716,-7.86973994512143,-100.258819495146,-0.00256016541461361,0.214580487873212,0.000208171955203371,9.13296154410008e-05,-0.000421509416788651,-6.35308253925794e-05,0.00669402695087083,3.84182288518429,3.72121847694899,-1.8318927965824
20,NaN,0.362263701179169,0.051472144524843,NaN,NaN,NaN,54.1255276625466,NaN,NaN,160.831030647737,NaN,NaN,15.0283260143033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,5.10720987367151,NaN,NaN,0.1576008941018,NaN,NaN,NaN,NaN,473.454884301926,NaN,184.141849897986,156.053703638285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.9868368250555,NaN
30,NaN,NaN,NaN,NaN,NaN,39.0289336908252,NaN,23.2621673512801,NaN,NaN,NaN,NaN,NaN,NaN,-0.713059697609061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9234616319177
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.14294374343998,NaN,NaN
40,NaN,0.332502275318163,0.0269051059724735,NaN,0.0282625281347446,NaN,NaN,NaN,NaN,544.583030324416,NaN,NaN,274.470294169788,0.0206489994524247,NaN,0.00165924987312869,NaN,0.00168514458929318,NaN,NaN,NaN,NaN,NaN
45,5.53925764617153,NaN,NaN,NaN,NaN,NaN,97.9666229808097,NaN,NaN,NaN,496.938088236828,474.771441692558,NaN,NaN,NaN,NaN,0.00191197658162857,NaN,NaN,0.00651166080093135,NaN,NaN,NaN
50,NaN,NaN,NaN,0.0864811264449499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00215685247714481,NaN,NaN,48.7028775865978,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,553.807997579284,NaN,NaN,NaN,NaN,NaN,1.310689172481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,495.943738662127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.8404065364697
65,NaN,0.225982275042483,0.0223987111473066,NaN,NaN,45.5965021122995,69.4896432627512,16.6595093540656,NaN,641.118964581132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,6.14415755885129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,627.666745354967,631.602910525433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.31882507654785,NaN,NaN
75,NaN,NaN,NaN,0.0757510800668079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.00932216603738589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0937301927080759,NaN,NaN,NaN,0.00184803981730719,NaN,NaN,NaN,38.1295638254252,NaN
85,NaN,NaN,0.0226788595395922,NaN,NaN,NaN,NaN,NaN,612.257906278776,NaN,NaN,NaN,400.535586888533,NaN,NaN,0.0012694210585209,NaN,NaN,NaN,NaN,NaN,NaN,NaN
