t,p1EpoRpJAK2_Obs,SHP1_Obs,CISnRNA3_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,0.000241535577949522,43.8081770270186,-32.0430661500479,-0.00025219431706854,-0.705982789483278,-0.0990326381297045
10,0.0719283686549829,NaN,178.961593091506,NaN,-0.114596162402205,NaN
15,NaN,65.1489394822059,NaN,0.000213520322372155,NaN,9.87292627768689
20,0.0464025724914429,NaN,NaN,NaN,1.00062533826555,NaN
25,NaN,NaN,260.002845117417,NaN,NaN,NaN
30,NaN,36.9132098156665,NaN,0.00104050422694358,NaN,21.5075454361774
35,0.0357763083516176,NaN,NaN,NaN,4.20587692191477,NaN
40,NaN,NaN,484.455429437398,NaN,NaN,NaN
45,0.0221736796612617,53.5396181311423,NaN,0.00160028708157271,3.35589931258707,23.2627063836964
55,NaN,NaN,410.594534937959,NaN,NaN,NaN
60,0.0265833581455133,NaN,NaN,NaN,8.35218825464398,15.9410316588756
65,NaN,44.0329776489004,NaN,0.00152993453880967,NaN,NaN
70,NaN,NaN,564.686177073635,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,5.55953218742935,NaN
80,0.0160688163010953,NaN,NaN,NaN,NaN,15.4681264688033
85,NaN,38.8808041281963,NaN,0.00101798088287485,NaN,NaN
90,NaN,NaN,486.558201180989,NaN,NaN,NaN
95,0.0130508231937313,NaN,NaN,NaN,11.1692011959847,NaN
100,0.0185138044453642,46.9344580561011,516.705749059953,0.00104475267899172,11.9090143915385,9.87375157406242
150,0.017418304669038,55.7822048830003,305.214166484171,0.000797409119042624,12.5580422227836,14.5963705101045
200,-0.00119123344300967,19.2648665596289,413.737155245377,0.000953745659313031,15.9599907880318,7.83909010099934
250,NaN,37.8844495031305,289.792677714887,0.000747741319526048,12.9176575442471,7.28759509981211
300,NaN,59.3469852332112,279.883100425709,NaN,NaN,2.7229638098658
