t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA3_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,-8.4573019471838e-05,0.0175134145865622,1.34451896456764,-12.1551616738536,-18.7460667669261,-0.000668999906848354,0.000521772124291582,-1.56944494430732e-05,-0.000161972710760661,-0.300571671430903,2.62821132352818
6,NaN,0.268408354781107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,0.0513694111419661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,-64.5877811812166,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,-37.8470108142131,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,3.15957706658874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.85639586107743
10,NaN,0.10644063480741,NaN,NaN,NaN,0.00262605502204929,3.57909170532284e-05,0.000100574966633307,0.000287757588997558,-0.318590008653434,NaN
15,0.0131556987352814,NaN,NaN,129.374202544301,24.6491670869854,NaN,NaN,NaN,NaN,NaN,NaN
20,0.0148499989138685,0.0535819781410699,9.95227621360374,NaN,NaN,NaN,NaN,0.00018269545681705,NaN,-0.431977120961601,7.87153838475224
25,0.014412304673176,0.0398151743567204,NaN,215.736914267488,135.769280897839,-0.00059167298996201,0.000636275057326343,NaN,0.000603397171422724,NaN,NaN
30,NaN,NaN,11.328310295934,315.850450237438,187.678304021705,NaN,NaN,NaN,NaN,1.58778778282833,8.05810379457826
35,0.0122367066119118,0.04120914575389,NaN,NaN,NaN,0.0236169126739139,0.000824242551222576,0.000740652516940553,0.000896619574615819,NaN,NaN
40,NaN,NaN,13.0602262389977,308.236838899405,214.137824312938,NaN,NaN,NaN,NaN,3.66217891474243,9.28962680465364
45,0.00968655382620928,0.0290518744130752,NaN,NaN,NaN,NaN,NaN,0.00112279443239827,NaN,NaN,NaN
50,NaN,NaN,NaN,327.135724141779,435.256723834771,0.0314351441033862,0.000926612793083214,NaN,0.000872232935275712,NaN,NaN
55,0.0105052289244093,0.00174365901194907,9.13523994022103,NaN,NaN,NaN,NaN,NaN,NaN,2.83557533533052,10.7681746180424
60,NaN,NaN,NaN,NaN,NaN,0.0391785614159531,NaN,0.00112204393403239,NaN,NaN,NaN
65,NaN,0.0231957569921457,9.23214567334539,388.008071614566,346.06753198876,NaN,0.000968909914239129,NaN,0.000883421976197127,NaN,13.0257745461245
70,0.00961405440278458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.00062743161238,NaN
75,NaN,NaN,NaN,299.700091537266,387.905017280285,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,0.0199435359709297,NaN,NaN,NaN,0.0628836409637853,0.000954099991537333,0.000768258556913811,0.000741521801874713,NaN,NaN
85,0.00446455411034018,NaN,12.029768403489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.49112267675727
90,NaN,NaN,NaN,340.645553680003,417.316481984922,NaN,NaN,NaN,NaN,6.91595178388021,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00107911652920913,NaN,NaN,NaN
100,0.00744374529900983,0.0470857516095455,9.90332649272952,320.602327852056,434.024364945251,0.0490464286967963,0.000938267161853158,0.000922119412571489,0.00111250559097047,5.70083915055075,6.74480184409366
150,NaN,NaN,9.48917661152527,299.928591964524,250.755302835103,0.0390236471073236,0.000702088504900459,0.000426708164368018,0.000486598484740254,10.1412173168683,5.10782441043397
200,NaN,NaN,4.27845170992153,128.000137813526,147.350957906101,0.0183698592751056,0.000620519060854797,0.000461784252705452,0.000337296867293876,9.59643779538845,10.088196624105
