t,p1EpoRpJAK2_Obs,SHP1_Obs,CISnRNA3_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,-0.00145066818455472,48.3438235528827,-16.5271969390474,-3.95196338402573e-05,101.629813421922,-0.177231703949409
10,0.0533640491393284,NaN,-8.62166904041124,NaN,141.367125951507,NaN
15,NaN,53.8079190733803,NaN,NaN,NaN,1.03118945345066
20,0.016990182536314,NaN,NaN,7.62690232353214e-05,NaN,NaN
25,NaN,50.8945940616377,20.484406727577,NaN,127.600979977816,1.48552940079493
30,0.0151498374852733,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,43.9252191446781,NaN,162.368148815988,NaN
40,NaN,62.0818206969036,NaN,0.000138632515015409,NaN,1.69328976646452
45,0.0129801796585013,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,50.7691856888375,NaN,119.456729148861,NaN
55,0.00866459538464854,49.7451471025534,NaN,NaN,NaN,2.44947658097593
60,NaN,NaN,79.1246222506549,0.000251460473447713,NaN,NaN
65,NaN,NaN,NaN,NaN,110.94120719596,NaN
70,NaN,NaN,NaN,NaN,NaN,2.15419701117558
75,0.00737887538072638,44.6891601299183,NaN,NaN,NaN,NaN
80,NaN,NaN,81.1238680008237,NaN,NaN,NaN
85,NaN,NaN,NaN,0.000223513064985033,113.169603606892,NaN
90,NaN,NaN,NaN,NaN,NaN,1.85842904028594
95,0.00972883642612456,40.3527867534996,90.30875376188,NaN,NaN,NaN
100,0.00640712800924525,57.4382396168258,101.159955966686,0.000163763612674919,174.891599713923,2.30447172045128
150,0.00227821613031099,40.9697039075306,88.4598640931674,0.000191524185820656,124.982751232367,2.05778775355573
200,NaN,52.7779844231583,77.6483894096633,0.000180492405394728,129.246851148447,2.59109815563813
250,NaN,37.9570896084089,42.4990565092954,0.000140769667312608,145.040865412903,1.27743655473377
300,NaN,49.649039446289,50.8245318167501,0.000192388690420488,129.642529616461,2.21747688270448
