t,epo_level,p1EpoRpJAK2_Obs,SOCS3_Obs
20,2.5e-09,-0.00704549695121548,-0.184293848508698
20,2.5e-09,-0.00624497265901079,-0.259000262295647
20,2.5e-09,-4.41883161526506e-05,-0.148698596412818
20,2.5e-08,0.0109719836026095,0.115591826220394
20,2.5e-08,0.0124689814462737,0.0390013077346028
20,2.5e-08,0.0392217841235034,0.282326374884764
20,1.25e-07,0.0415531177446291,0.220133300710921
20,1.25e-07,0.064624140398317,0.422135847385145
20,1.25e-07,0.0693908299846054,0.450867984022812
20,2.5e-07,0.0478835987066934,0.50581899959603
20,2.5e-07,0.0500843030010146,0.501679276842764
20,2.5e-07,0.0833466965768475,0.844050702396872
20,1.25e-06,0.0931019343126157,0.981651363862958
20,1.25e-06,0.101427818005445,0.983774694421264
20,1.25e-06,0.106144905605807,0.949676318175221
20,2.5e-06,0.0922768579783263,1.48236792224602
20,2.5e-06,0.109568771782934,1.28558172474905
20,2.5e-06,0.114819912945917,1.06478224397692
