t,epo_level,SOCS3nRNA5_Obs
11,2.5e-09,1.38907385110999e-05
11,7.905e-09,2.21792351358218e-05
11,7.905e-09,3.06437762782657e-05
11,7.905e-09,4.00227785317427e-05
11,1.25e-08,1.89238094778649e-06
11,1.75e-08,1.58538377512551e-05
11,2.5e-08,-2.05456287488722e-06
11,3.95e-08,1.03754492343316e-05
11,7.9e-08,7.39204840316321e-05
11,1.25e-07,7.66160066853679e-05
11,1.7675e-07,6.62497706010409e-05
11,1.7675e-07,0.000104356538763875
11,1.7675e-07,0.000135403979480393
11,2.5e-07,0.000145205714030037
11,7.905e-07,0.000287361567959905
11,2.5e-06,0.000311829864197262
11,2.5e-06,0.000364379510268367
11,2.5e-06,0.000385607185580138
