t,K27me0K36me3_Obs,K27me1K36me2_Obs,K27me3K36me0_Obs,K27me1K36me3_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.0511250460039253,0.388634987137762,0.00116741998032434,0.0759051106150737,0.00139666087091867,0.000616187375117414
3,0.0617950402951493,NaN,NaN,NaN,NaN,NaN
3.5,NaN,0.353330620776495,NaN,0.10761708011942,NaN,NaN
4,NaN,NaN,NaN,NaN,0.00143613977962912,NaN
4.5,NaN,NaN,0.00109370060039028,NaN,NaN,0.000623138573235076
6,0.0902044117710507,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,0.147428556268351,NaN,NaN
7.5,NaN,0.508368926722897,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,0.00203649819937752,NaN
9,0.102309697424272,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,0.00117717304949341,NaN,NaN,0.000868939637241829
10,0.0790815698060019,0.572637957266436,NaN,0.0946923782735727,NaN,NaN
15,0.0909518942275241,0.501961814387221,0.00103333094646398,0.106984926982959,0.00301916377717,0.000991022955524674
20,0.0699400892633033,0.479588772694235,0.00143038514284823,0.160969666311106,0.00292057838377903,0.000828964810190393
25,0.108591473759265,NaN,NaN,0.154945200898858,0.00255012129974558,NaN
30,0.0928173601749607,0.600987853697798,0.00120962956732604,0.15279179939073,0.00375963672288605,0.00105353594449462
35,0.103201653473131,NaN,0.00175665285582683,NaN,NaN,NaN
40,NaN,0.588905163388586,NaN,0.229925394206832,0.00307864134685693,0.00108560765129634
45,0.110977760061232,NaN,NaN,NaN,NaN,NaN
50,0.0880684402645898,0.646666356260955,0.00173631027549732,0.200153397676306,0.00321045659080465,0.00101125350176271
60,0.0831196270706667,0.666069690562097,0.0020449639299407,0.215409492094064,0.00284453844496477,0.00118106264522186
