t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.469148095294148,0.151258608102654,0.00076959701357044,0.117675060842714
6,NaN,0.17407693031874,NaN,NaN
7.5,NaN,NaN,-0.000322470784746421,NaN
8,0.656171171582459,NaN,NaN,NaN
10,NaN,0.180571580673276,NaN,0.115516860439476
15,0.620357318901715,NaN,0.0124840213524214,NaN
20,NaN,0.236338121190496,NaN,NaN
25,0.331146066717193,0.20200325485688,-0.000173938482859185,0.133583857889976
30,NaN,NaN,0.0174205285569857,NaN
35,0.601948338738513,0.214116097796098,NaN,NaN
40,NaN,0.196537421024828,0.00590113394784795,0.131608762523554
45,0.711629209499613,NaN,NaN,NaN
50,NaN,0.205106064914467,0.00453760899622369,0.0942249356846096
55,0.504243587728894,NaN,NaN,NaN
60,NaN,0.165116692207367,NaN,NaN
65,NaN,NaN,0.129073639433581,NaN
70,0.806402589400047,NaN,NaN,0.127248452031985
75,NaN,-0.0192071502047975,NaN,NaN
80,NaN,NaN,0.0763021749809636,NaN
85,0.594385678897397,NaN,NaN,NaN
90,NaN,0.0315809582240769,NaN,0.129226062722336
95,NaN,NaN,0.0670718218472545,NaN
100,0.599598131174125,-0.0057778026008792,0.0771565018641933,0.0901338921011884
150,0.582551981072928,0.028351653439588,0.0808960768054179,0.0884759540259401
