t,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,IBMX_Obs
0,0.191338182899653,0.0164150133447629,0.110176292158002,-27.6601822227179
3,0.151292244253326,NaN,NaN,89.6459014458511
4,NaN,0.0549688508548807,NaN,NaN
5,NaN,NaN,0.131628402414986,NaN
6.5,0.113028549947634,NaN,NaN,111.296644089051
8.5,NaN,0.0634166361635217,NaN,NaN
10,0.0845460984957839,NaN,0.120816834892481,127.421664487308
15,-0.00665769047902818,0.132200545034939,0.0983401509584253,98.7044116461004
20,-0.00142784284692136,0.105402562716632,0.117528423881799,100.849606393585
25,-0.00615014197538034,0.0513206721374598,NaN,103.739044996826
30,0.0163083803754008,0.0558246874274319,0.0695744602945985,121.925477990511
35,-0.00601189109200352,0.0837047720033106,0.0964258841824503,NaN
40,-0.0116297315137539,NaN,NaN,NaN
45,NaN,0.0589700664426457,0.102486489377482,NaN
50,-0.0120298932035319,NaN,NaN,NaN
55,NaN,0.0528069713291368,NaN,NaN
60,NaN,NaN,0.0792322964560679,NaN
70,NaN,0.0932910373276655,0.0789220667789837,NaN
