t,RIIp_C_2_Obs,RII_2_Obs,AC_Fsk_Obs,pAC_Fsk_Obs
0,0.190951651000062,0.128818360468542,0.026581389955896,-0.0485982246385385
3.5,0.211616890793249,NaN,NaN,NaN
4.5,NaN,NaN,NaN,0.15409194975172
6.5,NaN,0.124488527378354,NaN,NaN
7.5,0.221600736018992,NaN,NaN,NaN
9,NaN,NaN,NaN,0.288463654643571
10,0.178034738650013,NaN,NaN,NaN
15,-0.0147473386356568,0.0956982273628818,0.40346586743911,-0.148568869325813
20,0.0435505356233523,0.110104964533769,NaN,-0.118686604987078
25,0.0162458889784475,NaN,0.436866169970967,-0.0430905415538486
30,NaN,0.0862381823899387,NaN,NaN
35,-0.0371394390753051,NaN,NaN,0.0971148950472106
40,NaN,0.0896980247287408,0.417531514179559,-0.23347870798053
55,NaN,0.108692656931628,0.443176312668468,0.09041417967312
65,NaN,NaN,NaN,-0.117245288599958
70,NaN,NaN,0.288870017473084,NaN
80,NaN,NaN,NaN,-0.287579238765552
90,NaN,NaN,0.329086726105509,NaN
100,NaN,NaN,0.304862141895482,NaN
150,NaN,NaN,0.31717542358372,NaN
200,NaN,NaN,0.363924374505937,NaN
250,NaN,NaN,0.380615374456224,NaN
