t,RII_C_2_Obs,RIIp_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.66366806773602,0.201661356315908,0.171931669341223,0.00430754378054576
7.5,NaN,NaN,NaN,0.000560995679811839
15,NaN,0.186261062318612,NaN,0.00819838778389017
20,NaN,NaN,0.0966674585395292,NaN
25,0.703676887065026,NaN,NaN,0.00134814009292511
30,NaN,0.188482717974036,NaN,NaN
35,NaN,NaN,NaN,0.00339511534601862
45,NaN,0.205326467517891,0.164601834544357,-0.00184121084182544
55,0.642950139584962,NaN,NaN,0.00106907687251231
65,NaN,0.0473706374670487,NaN,NaN
70,NaN,NaN,0.108778858008693,0.143375149750901
80,0.538960827515627,NaN,NaN,NaN
90,NaN,0.0130285808305297,NaN,0.134414018756913
95,NaN,NaN,0.151154152464945,NaN
100,0.649324388027052,0.0338096785363807,0.112870506507621,0.131677834179502
150,0.613023430766953,0.0196713367562969,0.194093340716073,NaN
200,0.573102043104522,NaN,0.198917375561593,NaN
250,0.531498200234869,NaN,0.186579548808424,NaN
300,0.698738231035282,NaN,0.164558763457474,NaN
350,0.631037835655735,NaN,0.228225529464575,NaN
450,NaN,NaN,0.218441670754247,NaN
