t,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,IBMX_Obs
0,0.198574661779652,0.00426769777926617,0.0876850711067738,1.85381345069169
3,NaN,NaN,NaN,102.458813131377
4.5,0.147846798402876,NaN,NaN,NaN
5,NaN,0.060101414055875,NaN,NaN
5.5,NaN,NaN,0.108256773914316,NaN
6,NaN,NaN,NaN,109.12452385406
9,0.132438091010813,NaN,NaN,NaN
9.5,NaN,NaN,NaN,82.789457631551
10,NaN,0.0573764935370685,0.127222269662098,NaN
15,0.0665487229891247,0.0521195699761947,0.0989650442950656,111.255513834301
20,0.0979213261209657,NaN,NaN,122.391601252513
25,0.100102971738388,0.0428471317019345,0.106176273010171,85.7068258463917
30,0.0836142416861103,0.0587718016549846,0.0699335962063338,91.4681815003199
40,0.113007694649618,0.0588890881071637,0.0992711569791151,NaN
50,0.106926630945702,0.0321702838630992,0.116953245148859,NaN
60,0.0821567223428836,NaN,0.125436728785738,NaN
70,NaN,NaN,0.128440799647982,NaN
75,0.0572709164079495,NaN,NaN,NaN
85,NaN,NaN,0.0466322870481357,NaN
