t,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,AC_Fsk_Obs
0,0.808676257868465,0.0123408020328708,-0.005797995533245
4.5,NaN,0.131469679090696,0.36582401350326
5,0.746139886258672,NaN,NaN
9,NaN,0.0988062696518086,NaN
9.5,NaN,NaN,0.387946503812309
10,0.455369375443358,NaN,NaN
15,0.507614571903196,0.0748792265020932,0.342058345374695
20,0.643060324144906,0.0769252537580062,0.3628258942243
25,0.687540969549983,0.0786017452494514,NaN
30,NaN,0.0769998821631521,0.301152343928197
35,0.474212656224245,NaN,0.354772515409472
40,0.649150413817485,0.0603014298524661,NaN
45,NaN,0.0571274000860295,NaN
50,0.493348856224577,NaN,NaN
60,0.690258245001421,0.0665220395973783,NaN
70,NaN,0.0867033761170661,NaN
75,0.413943017549814,NaN,NaN
