t,RII_C_2_Obs,RIIp_C_2_Obs,RII_2_Obs,pAC_Fsk_Obs
0,0.577306490439894,0.179620171224852,0.123059405947972,-0.0560262478221824
8.5,0.724557825160235,NaN,0.0915170751466668,NaN
10,NaN,0.209015630316403,NaN,NaN
15,NaN,NaN,0.146251138667637,-0.0619537594692278
20,0.623902050082616,0.239077482398791,NaN,NaN
25,0.422544805965172,NaN,0.101703892545268,NaN
30,NaN,0.207776847724811,NaN,-0.056134321193388
35,0.534981869712454,NaN,0.132635380070342,NaN
40,NaN,0.196299956696816,NaN,NaN
45,NaN,NaN,0.131717571037939,NaN
50,0.543700187151115,NaN,NaN,0.0703009683808731
55,NaN,0.196955642490342,0.111028786007285,NaN
60,0.636170706110652,NaN,NaN,NaN
70,NaN,0.0722390169407813,0.0818183820893705,-0.14715016782836
75,0.436334433483743,NaN,NaN,NaN
85,NaN,0.0593112879489328,0.0907600423846359,NaN
90,0.553931551353851,NaN,NaN,0.158801649572328
100,0.482297028269057,-0.0179215489377907,0.0955285194466762,0.199339869138345
150,0.667763598993,0.0166171548683596,0.0683703194366255,-0.0871685864210593
200,NaN,0.0493173967076597,NaN,0.127730543089932
250,NaN,NaN,NaN,-0.442438501404546
300,NaN,NaN,NaN,-0.106812727852533
350,NaN,NaN,NaN,0.509161983126171
