t,RIIp_C_2_Obs,RII_2_Obs,IBMX_Obs,AC_Fsk_Obs
0,0.193201550726914,0.14281068340792,33.1502198057293,0.0958557674445768
0.1,NaN,NaN,117.062541376212,NaN
0.15,NaN,NaN,NaN,0.352550351182892
0.25,NaN,NaN,90.8394297788679,NaN
0.3,NaN,NaN,NaN,0.28723128658412
0.35,NaN,NaN,118.192246446713,NaN
0.5,NaN,NaN,109.925845179923,0.372868314135958
0.7,NaN,NaN,123.445994437814,0.401993372073408
0.85,NaN,NaN,90.6645934762948,NaN
0.9,NaN,NaN,NaN,0.382700167074047
1,NaN,NaN,106.590219235637,0.42046382685705
1.5,NaN,NaN,95.7299899053939,0.498401167708125
2,NaN,0.133967988798917,NaN,0.422293576480896
3,-0.00987602514016126,NaN,NaN,NaN
4,NaN,0.124260087452086,NaN,NaN
6,-0.00169568069279773,0.0962574605993909,NaN,NaN
8.5,NaN,0.0935078169744073,NaN,NaN
10,-0.00229642940173112,0.0996395918511857,NaN,NaN
15,-4.15820521913086e-05,0.126387348329711,NaN,NaN
20,0.00217953681331847,0.0624036308054287,NaN,NaN
25,NaN,0.0933345316804599,NaN,NaN
30,NaN,0.0912249113017134,NaN,NaN
40,NaN,0.0588699406613725,NaN,NaN
