t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs,IBMX_Obs,AC_Fsk_Obs,pAC_Fsk_Obs
0,0.485287833122862,0.197142686680703,-0.196173957481271,0.135456938183429,-0.291126695680787,0.170720602628628,0.236750637359857
4,NaN,NaN,NaN,NaN,NaN,NaN,0.328673304268144
8,NaN,NaN,NaN,NaN,NaN,NaN,0.0439334741753391
10,NaN,NaN,NaN,NaN,NaN,NaN,0.10112731464275
15,NaN,NaN,NaN,NaN,NaN,-0.13177873525128,-0.187697399802696
20,0.743745387686553,0.152434047877926,0.0879310879615168,0.120228664222116,0.0420675815281007,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,-0.343642839440418
30,NaN,NaN,NaN,NaN,NaN,NaN,-0.0361827134926531
35,NaN,NaN,NaN,NaN,NaN,0.0716238475926398,0.342205927989108
40,0.52668837522519,NaN,NaN,0.122203098351686,-0.204782966950757,NaN,NaN
45,NaN,0.152814757092859,-0.0393918559156176,NaN,NaN,NaN,0.042331552842177
55,NaN,NaN,NaN,NaN,NaN,-0.181852086321896,NaN
60,0.551848909896305,NaN,NaN,NaN,-0.0705412245658282,NaN,NaN
65,NaN,NaN,-0.216931789664426,0.103611136533294,NaN,NaN,NaN
70,NaN,0.0687263371549452,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,-0.150123176990252,NaN
80,NaN,NaN,NaN,NaN,0.214961921681019,NaN,NaN
85,0.415187519947776,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,-0.0554707896997598,0.0941456278899993,NaN,NaN,NaN
95,NaN,0.210049926519891,NaN,NaN,NaN,-0.326906174992099,NaN
100,0.477711565164015,0.219633748944448,0.181510296744691,0.110273889760311,0.114387917096593,0.191391031078427,NaN
150,0.612100039151507,0.268267361684893,0.150810524446852,0.138163994198085,-0.193803977287136,-0.4552168966976,NaN
200,0.573787992026177,0.237111688689399,0.00756736556972977,0.126513106036975,0.023156219853589,0.302041581220005,NaN
250,0.383378453058687,0.184962734918028,-0.151302214352952,0.104034551362923,0.264950826918291,-0.049415256643944,NaN
300,0.629095798713266,0.267882221302178,-0.0447133069279371,0.128641900180901,-0.115673442637693,-0.235054488472523,NaN
350,0.603468237760743,0.192849082607476,-0.149314012463092,0.139711372606653,0.194198306332589,-0.22557333787258,NaN
450,0.55483333155529,0.231487101657911,0.0372409406587565,0.106891059308046,0.0742425737884679,0.279058782005625,NaN
