t,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,pAC_Fsk_Obs
0,0.203279908910442,0.00556558145645897,0.0769928058895707,0.0742111566671834
6,NaN,NaN,NaN,0.0470308764578669
10,NaN,NaN,NaN,-0.00195720486891774
15,0.22739386705483,NaN,NaN,NaN
20,NaN,9.7178325276415e-05,0.174310924642053,0.0802570133871065
25,NaN,NaN,NaN,0.416366805657416
30,0.214908602747193,NaN,NaN,0.0498919526264043
40,NaN,0.0125141528481529,NaN,-0.260923082371171
45,0.212425426218934,NaN,0.197208741492314,NaN
50,NaN,NaN,NaN,-0.0683611346235188
60,0.16067975100008,0.00344887121883913,NaN,NaN
65,NaN,NaN,0.0914525470793732,0.160040646866405
75,NaN,NaN,NaN,-0.046049169616773
85,0.0426803379105813,0.0698041420518077,NaN,NaN
90,NaN,NaN,0.168810001644977,NaN
95,NaN,NaN,NaN,0.274227441271718
100,-0.0142536036182115,0.0560254612415988,0.18793122135405,0.147266094026165
150,0.013785714970431,0.0724056058233254,0.180057680252716,NaN
200,NaN,0.0512769363922105,0.207907123382907,NaN
250,NaN,0.0585431791566437,0.270272798739198,NaN
300,NaN,0.0586588016467196,0.295453138027538,NaN
350,NaN,0.0510901921165281,0.399457674750087,NaN
450,NaN,NaN,0.387507090918678,NaN
