t,RII_C_2_Obs,RIIp_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.766585939469802,0.224983846889941,0.132626295014132,-0.0056070591518015
7.5,NaN,NaN,NaN,-0.00246233490847982
10,NaN,0.185057339325339,NaN,NaN
15,NaN,NaN,NaN,-0.00482475522930384
25,0.438399323694404,0.195399808987268,0.143772122560387,0.00239135619529981
35,NaN,NaN,NaN,-0.00205748720521242
40,NaN,0.185969658306268,NaN,NaN
45,NaN,NaN,NaN,-0.00443988881798157
50,0.627801725720795,NaN,0.159801967288278,NaN
55,NaN,0.190132832843975,NaN,NaN
60,NaN,NaN,NaN,0.0108401819193765
75,NaN,-0.0105587391285843,0.0772506810189607,NaN
80,0.594412470029462,NaN,NaN,0.145486290088463
95,NaN,0.00408711586550194,NaN,NaN
100,0.387335461214156,0.0467336141403893,0.0929932616277624,0.141575795073512
150,0.622300505002759,0.03814523576909,0.128399413276223,NaN
200,0.636708142943167,NaN,0.127486226749977,NaN
250,0.573096821858091,NaN,0.126249962568489,NaN
300,0.55781994559406,NaN,0.0934239137287032,NaN
350,0.565319886396403,NaN,0.179577904865459,NaN
450,0.597658098828098,NaN,0.173985752246801,NaN
