t,RIIp_C_2_Obs,RII_2_Obs,AC_Fsk_Obs,pAC_Fsk_Obs
0,0.189781666974298,0.111876544378997,0.177570164022678,0.186011993605377
3.5,NaN,NaN,NaN,-0.102945361369471
7.5,NaN,NaN,NaN,0.128683007612941
10,NaN,NaN,0.231910310696718,0.0332624960568131
15,NaN,NaN,NaN,-0.228501507970328
20,0.228266465219509,0.119735117275713,-0.143128213098267,0.0723407406981095
25,NaN,NaN,NaN,-0.309870387366046
35,NaN,NaN,0.0865644236250542,0.0908651952953151
40,NaN,NaN,NaN,0.108614972618665
45,0.183391866560543,0.202412117530974,NaN,NaN
50,NaN,NaN,0.0309401017055141,NaN
60,NaN,NaN,-0.0230174913053679,NaN
70,0.235969679578069,0.189631568318633,NaN,NaN
80,NaN,NaN,-0.0539722933521983,NaN
95,0.0924315031957561,0.159354209174155,-0.194929450875713,NaN
100,0.194647793983864,0.186998535676208,-0.000236296190161798,NaN
150,0.133958714904904,0.223426995304028,0.211364844758705,NaN
200,0.138160163502858,0.214114898192398,NaN,NaN
250,0.12619451687405,0.275049787609572,NaN,NaN
300,0.149105360028177,0.329561807292008,NaN,NaN
350,0.102291787211063,0.262807417788035,NaN,NaN
450,0.15052560778232,0.368065196555171,NaN,NaN
