t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs,AC_Fsk_Obs,pAC_Fsk_Obs
0,0.554064699846363,0.201515402948576,0.00815542035335421,-0.00172351778712536,0.131286504367618,0.168792896827415,0.157095763710101
3,NaN,NaN,NaN,NaN,NaN,NaN,-0.133735188464051
3.5,NaN,NaN,0.00238506009347335,NaN,NaN,NaN,NaN
4.5,NaN,0.00852633354548351,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,0.0205624059389043,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,NaN,0.104499773180826
7,NaN,NaN,0.000702921432124395,NaN,NaN,NaN,NaN
7.5,0.623088850947584,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,0.00517460691245054,NaN,NaN,NaN,NaN,0.101579708228992
9.5,NaN,NaN,NaN,0.0139033584823105,NaN,NaN,NaN
10,NaN,NaN,0.000686276490033975,NaN,NaN,-0.212821216682384,NaN
15,0.563818858743943,0.00594970155378659,0.000103360692806668,0.0094525283713513,0.110735065759102,NaN,-0.217642305408351
20,NaN,0.00955722813424223,0.000151411418134519,0.00960528928814137,NaN,NaN,0.0380343072584601
25,0.541517615307457,0.00500226630441593,0.000363182361119256,0.00985402476313468,NaN,0.108025648407476,0.170879443850472
30,0.675590379043379,NaN,-0.000373871125033719,NaN,0.0901934483161676,NaN,NaN
35,NaN,0.00471248102228638,NaN,0.00800389043355661,NaN,NaN,NaN
40,0.577215452242603,NaN,NaN,NaN,NaN,0.262430445702818,NaN
45,NaN,NaN,NaN,0.0105904117431293,0.118725122296808,NaN,NaN
55,0.558415714652384,NaN,NaN,0.00947123606646002,NaN,0.239385439197985,NaN
60,NaN,NaN,NaN,NaN,0.0853875982828088,NaN,NaN
65,0.503440509782899,NaN,NaN,0.00999844595483869,NaN,NaN,NaN
80,0.657144072263756,NaN,NaN,0.0117223508563958,0.132263272175493,0.00364451226466943,NaN
100,0.530662553489564,NaN,NaN,NaN,0.0978646068939595,0.270814962503055,NaN
150,NaN,NaN,NaN,NaN,0.106328282295107,NaN,NaN
200,NaN,NaN,NaN,NaN,0.098331162663049,NaN,NaN
250,NaN,NaN,NaN,NaN,0.0766009418246897,NaN,NaN
300,NaN,NaN,NaN,NaN,0.101247054831454,NaN,NaN
