t,RIIp_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs,pAC_Fsk_Obs
0,0.205583891276747,-0.00163285881222769,0.120906721228465,0.204284452859506
3.5,NaN,0.0021047431420009,NaN,0.0948701438100562
4.5,0.194649792408793,NaN,NaN,NaN
6,NaN,NaN,0.111391854946468,NaN
7,NaN,NaN,NaN,-0.0840375421077794
7.5,NaN,-0.00152645291026387,NaN,NaN
9,0.20062317134518,NaN,NaN,NaN
10,NaN,-0.000969696122599073,NaN,0.480146080690777
15,0.0563460271201175,0.0235172046664295,0.117978870404845,-0.00435990503274862
20,-0.00292972960571493,0.0138475284120343,0.126303665298065,-0.308749785832651
25,0.00305430247803492,0.0113672207117471,NaN,NaN
30,NaN,NaN,0.122056468629598,0.110944381392927
35,0.0129522444781591,0.01237764597123,NaN,NaN
40,NaN,0.00872885665798704,0.10885829572459,NaN
50,NaN,0.0103716184474075,0.106813020471664,NaN
