t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.50983016154038,0.219386463328222,0.00659647556642178,0.116337322616098
7.5,NaN,0.19610462604822,NaN,NaN
9.5,0.795529512206806,NaN,NaN,0.110312416970922
10,NaN,NaN,0.00999242621698126,NaN
15,NaN,0.202495215650487,NaN,NaN
20,0.634306849236256,NaN,0.000477849595515665,0.131251590642787
25,NaN,0.175525579195407,NaN,NaN
30,0.581981051521665,0.205880941359379,NaN,0.118174255792885
35,NaN,NaN,0.0039655390485996,NaN
40,0.694853916782895,0.152776336434421,NaN,0.133734215609087
45,NaN,NaN,0.0136051208732675,NaN
50,0.675846409926591,0.220651263086064,NaN,0.152030860170627
60,NaN,NaN,-0.00492579393420211,NaN
65,0.500204247249946,0.0307903823127059,NaN,0.117439735842179
75,NaN,0.00240949792664839,0.0696306669941975,NaN
80,0.52118156044747,NaN,NaN,0.102029440654573
90,NaN,0.0145230097053355,NaN,NaN
95,NaN,NaN,0.073462460150588,0.075563482026066
100,0.56897121147764,0.109420749769018,0.0544674432675246,0.132123034094836
150,0.698444520347599,0.063055384738243,0.0533660222512068,0.102151132600056
200,NaN,NaN,0.0564546851276096,NaN
