t,IR1in_Obs,Uptake1_Obs
0,-0.942898427653328,-0.135372591144544
8.5,3.12049004306097,NaN
10,NaN,6.19796289072827
15,3.64986286996693,NaN
20,NaN,6.40116024316926
25,4.69701027188532,NaN
30,NaN,7.09912160553337
35,4.90352019760415,NaN
40,NaN,8.00929174302435
45,5.99947001567339,NaN
55,NaN,6.78630101416009
60,4.89541919282208,NaN
70,5.79585527216154,9.31234462859123
85,5.3288761812368,9.30966522590317
100,4.29661198511777,9.75234269628082
150,4.91418443550372,9.25895200574884
200,3.70211737333164,12.1922081648796
