t,IR1in_Obs,Uptake1_Obs
0,-3.29145853617794,6.49344066179958
6.5,18.0958297790725,NaN
9,NaN,22.8841998931868
15,20.148329008065,NaN
20,16.0856020005121,17.8484531409887
25,NaN,21.7176895421934
30,17.1718602482345,NaN
35,16.2864106143046,23.8230408464783
45,17.2471367421295,NaN
50,NaN,28.6077696561719
60,19.7075458795891,28.9737629122942
75,19.7490088000753,25.6613665915123
90,21.7815894729709,32.4972366012792
100,17.5511607267042,34.2167652074717
150,20.2850433020028,40.8046774830729
200,NaN,48.6595248594511
