t,Rec1_Obs,Rec2_Obs
0,54.2541726334634,804.02194172565
10,52.8484518548292,852.007512014824
20,51.2511731246194,927.693834717196
30,NaN,982.41994385354
35,57.2357041817767,NaN
40,NaN,905.075387220385
45,48.088440166505,NaN
55,NaN,890.92748618583
60,54.6911103530287,NaN
65,NaN,740.58067441321
75,50.3643088048957,NaN
80,NaN,858.840394746985
90,47.0554712324559,NaN
95,NaN,880.612298397297
100,50.1031486006116,1084.78387806573
150,43.8952102775437,891.398496616212
200,46.1824593237626,784.622739815604
