t,IR1_Obs,IR1in_Obs,Uptake1_Obs
0,0,0.0991675239972907,0
3.5,10.5181119143836,NaN,NaN
7,7.35406573263992,NaN,NaN
9,NaN,36.6273666142765,NaN
9.5,NaN,NaN,44.3196875645429
10,4.86487202817204,NaN,NaN
15,3.44026461290229,NaN,NaN
20,5.09099832086132,38.9307414578776,62.3925516663489
25,4.2159358700621,50.9801253340894,NaN
30,4.24781933256314,NaN,65.2100067744498
35,NaN,40.7016494993211,NaN
40,3.88712497415736,NaN,66.840264742151
45,3.83542212519005,NaN,NaN
50,NaN,38.1593643415747,NaN
55,NaN,NaN,90.2880682533029
60,4.19330784581096,39.6951107259142,NaN
65,NaN,NaN,86.0285557264737
75,NaN,42.3049063739243,NaN
80,NaN,NaN,78.667210087962
90,NaN,38.3350142178328,NaN
100,NaN,48.756803724299,109.851209501839
150,NaN,51.3228252844577,177.041568400896
200,NaN,44.6692199792171,161.293894968854
