t,IR1_Obs,IR1in_Obs,Uptake1_Obs
0,0,0.00984031550858689,0
6,2.51213522036013,NaN,NaN
9,NaN,NaN,13.0023777421514
10,NaN,9.93211346240497,NaN
15,1.57116657807471,NaN,NaN
20,1.58607587724542,12.4343643523603,18.1666024882639
25,1.1964516680625,NaN,NaN
30,NaN,14.036872069833,22.7962443309511
35,1.12405814908043,NaN,NaN
40,NaN,NaN,20.4084720035611
45,0.954472478116302,13.9429360206656,NaN
50,NaN,NaN,26.5549424713902
55,0.980872659036139,13.8534896385134,NaN
60,NaN,NaN,22.501861489746
65,0.752211882376354,NaN,NaN
70,NaN,12.2179199222189,NaN
75,NaN,NaN,25.1614153425011
80,0.791967597540139,NaN,NaN
85,NaN,8.40995544099064,NaN
90,NaN,NaN,26.4463520595977
100,0.581990468386691,8.47345883500226,26.9790240661488
150,NaN,4.26379830301789,28.9937327347961
200,NaN,2.41917521122064,21.4251490049514
