t,IR1_Obs,IR1in_Obs,Uptake1_Obs
0,0,0.000976385444759751,0
5.5,0.285685806851625,NaN,NaN
10,0.175443208917751,0.938050421084622,1.76745766282976
15,0.117273866324585,NaN,NaN
20,NaN,1.4838530930279,1.83629428210866
25,0.0940013532317244,NaN,NaN
30,0.0800494381310703,NaN,1.73466472180259
35,NaN,0.970230342100254,NaN
40,0.0863751891986638,NaN,NaN
45,NaN,1.17363127837895,1.90220282456176
50,0.0593048696120017,NaN,NaN
60,0.0577199381447678,0.937340304849487,1.98446127166982
70,NaN,1.00372689087323,NaN
75,0.0423943816522383,NaN,1.91846211738242
90,NaN,0.685010732128779,2.15777739504729
95,0.0393496902727614,NaN,NaN
100,NaN,0.627697421154702,2.06810893667844
150,NaN,0.385980438952597,2.73365574746779
200,NaN,0.159361827694602,2.5327039699089
