t,pApoER2_re_Dab1_Obs,SFK_Obs
0,0,1.18311343863038e-08
15,NaN,2.64037194930928e-11
30,2.04939217609871e-05,1.94268844111271e-11
50,NaN,1.02531393623049e-11
65,2.50405856464942e-05,NaN
70,NaN,1.1850016568359e-11
95,NaN,2.34750694661615e-11
100,7.49703730250308e-05,4.15003955913867e-11
150,7.42767752900364e-05,6.48395842823883e-11
200,0.000807239821151512,3.02279727766184e-09
250,0.000272319687804427,NaN
300,0.000255618643095483,NaN
350,0.000711124763306347,NaN
450,7.16700274392345e-05,NaN
600,6.77636220286623e-05,NaN
