t,pApoER2_re_Dab1_Obs,SFK_Obs
0,0,0.00378857543862131
25,NaN,0.000677718472510609
30,0.00034829838260297,NaN
55,0.000341679172175162,0.000855602452272482
80,NaN,0.00299458133851243
90,0.000250547783465273,NaN
100,0.000294413261897754,0.000803738663824057
150,0.000185010834935941,0.0037349040503989
200,0.000313253968624262,0.0015376343577945
250,1.14930549040778e-05,0.00345410208929389
300,1.54644390819237e-05,0.00389719587521073
350,NaN,0.00181004347553069
400,9.50927227716013e-06,0.000962815669227443
450,4.70611876259941e-06,NaN
