t,ApoER2_Dab1_released_Obs,SFK_Obs
0,1.06678004323712e-06,1.06894967245627e-08
4.5,9.74431372147495e-07,NaN
9.5,1.98097353772524e-06,NaN
15,1.24993510955456e-06,NaN
20,5.82055744086645e-08,NaN
25,3.96042635901223e-07,NaN
30,NaN,9.70739015345962e-09
35,2.40338026420984e-07,NaN
45,7.49708562436158e-07,NaN
60,NaN,1.10738907751556e-08
90,NaN,9.78434853345871e-09
150,NaN,1.23635179944624e-08
200,NaN,2.45116583616112e-08
250,NaN,3.29394439913246e-08
350,NaN,2.03863162956236e-08
400,NaN,8.20707599101431e-08
