t,Reelin_input,pApoER2_re_Dab1_Obs,SFK_Obs
8,0,0,0.00117191323565935
8,0.00012207,1.95519771285707e-07,0.00052958478274915
8,0.00024414,4.6792857872749e-07,0.00213900522184123
8,0.00048828,1.80014289529203e-05,0.00151858387383045
8,0.00097656,3.14168375763214e-05,0.00262992892147782
8,0.0019531,7.2684987704676e-05,0.00800352705803191
8,0.0039062,4.31689883491061e-05,0.0024428721319523
8,0.0078125,0.00031480378913346,0.00128007178750229
8,0.015625,0.000788853836058044,0.000678212652819103
8,0.03125,0.0014633791367241,0.000193426444699384
8,0.125,0.000314504005762625,0.000340221787282746
8,0.25,0.00164424888494846,0.00018878606395817
8,0.5,0.00828877351051518,5.80349757051924e-05
8,1,0.00991592064612921,4.47882415026328e-05
