t,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,0,3.43901586594106e-08,0.0371200504777133,0.000381573083821406
20,0.00908196802976039,5.17516559076163e-05,0.373792999577975,NaN
30,NaN,NaN,NaN,6.01627892212642e-05
35,0.0320739638174835,2.05751452967028e-05,0.219331468606604,NaN
55,0.00712180341574826,2.64011116694586e-05,1.66340870726245,NaN
60,NaN,NaN,NaN,0.00013218117630056
75,NaN,3.097557625457e-06,1.01054818868986,NaN
80,0.00135161993877852,NaN,NaN,NaN
90,NaN,NaN,NaN,0.00157839648172811
100,0.000695342136593253,5.00716669066836e-06,0.72264332785495,0.000736077225370972
150,0.000287169688872781,5.12381058285638e-06,0.401946436373101,0.00198498113126432
200,0.000572060125373855,6.48934826827745e-06,0.447567264251657,0.00177292655469254
250,0.000278280338864117,4.25785481499777e-06,0.171528441915619,0.00228272574041993
300,5.03926388221585e-05,NaN,0.163468181822264,0.00265669608954321
350,NaN,NaN,0.0775229716600453,0.00175430349485971
400,NaN,NaN,0.0270291296836398,NaN
450,NaN,NaN,NaN,0.00269494250741937
