t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,30628442.4057541,30210902.2397667,-92217.4239089552
50,NaN,22509474.4511919,5706168.43950811
55,23465770.8012259,NaN,NaN
100,18440725.433701,10154967.0386075,6591262.62706331
150,12365160.8570242,8925571.04173794,5198828.10675712
200,NaN,4985389.8793664,3504278.30717305
250,4620455.34720756,NaN,NaN
300,4679524.71412751,3022800.90494465,1741120.45627242
350,NaN,NaN,1403456.29450445
400,1184514.91206256,1684449.20242573,NaN
450,1029728.44028935,NaN,381521.812173484
500,NaN,1609478.01971483,NaN
550,NaN,NaN,295008.432457295
600,-864820.350910189,NaN,NaN
650,NaN,NaN,-338310.55439509
700,819722.8907748,NaN,NaN
800,NaN,NaN,-466945.166821921
850,-294739.638977962,NaN,NaN
950,NaN,NaN,-135487.935813359
1000,271078.157663837,NaN,NaN
