t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,31636756.7978188,30629028.3991077,419602.697062648
30,NaN,NaN,21678968.6518397
45,NaN,970717.480373234,NaN
50,18639463.7613637,NaN,NaN
65,NaN,NaN,14675737.9911152
95,NaN,-6137.1738073914,NaN
100,10749733.2422247,NaN,7460643.87842675
150,967028.568726425,-524039.684817097,3891876.15230839
200,459802.365037836,1111250.35154437,1294110.09605675
250,NaN,NaN,484838.257424964
300,-2235297.28286976,-11972.8624040985,-297242.774204721
350,-631262.941641955,875108.309663049,NaN
400,NaN,NaN,-545205.947520911
450,453184.438817255,578796.556521356,-1390957.24008576
550,NaN,-367604.427830394,801269.703484541
600,NaN,NaN,23577.5157007217
