t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,29489656.3528134,31707024.2754605,64052.9987585862
35,23648851.8986106,NaN,22612223.5724519
40,NaN,106734.84886675,NaN
65,NaN,NaN,13682377.9381748
70,13215523.5784868,NaN,NaN
80,NaN,-36544.9558727405,NaN
100,4728173.37044332,NaN,6761763.76493115
150,1737130.81651348,-108883.659136299,3196598.13534773
200,606792.9872709,319919.05292889,1383908.67492391
250,-1957413.43844448,-171003.098945258,420089.398118787
300,NaN,-190879.745244732,-790252.367593445
350,1019220.9920481,-782839.085067324,-556613.99448544
400,1857938.09205145,NaN,597045.522304794
450,NaN,39386.5345934378,NaN
500,NaN,NaN,497383.741252396
600,NaN,NaN,-646256.105480591
