t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,26687236.7904614,32397094.6190157,-20471.3204800271
90,24353920.9392266,NaN,NaN
100,NaN,22235795.1225817,NaN
150,NaN,NaN,804066.86032074
200,15719857.9073743,14678796.3391257,NaN
250,NaN,NaN,660851.202908014
300,11256744.7228672,NaN,NaN
350,NaN,10362535.3494182,NaN
400,11410178.1132297,NaN,288513.647806381
450,NaN,7370083.97691642,NaN
500,6090437.08516492,NaN,NaN
550,NaN,NaN,228561.138453211
600,NaN,2328994.37290514,NaN
650,3486070.83813872,NaN,NaN
700,NaN,NaN,139332.504494052
750,NaN,1615670.20013268,NaN
800,478806.670975043,NaN,NaN
900,NaN,1338728.3614106,111374.433055907
1000,-301855.114610687,732430.302757805,-4637.98342091587
1500,-551991.228750561,-2680399.68563879,-9490.09202355946
2000,NaN,738167.684616977,-25699.1573719173
2500,NaN,NaN,-8589.74915792123
