t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,32204809.2479827,32638337.9956998,-1317454.830469
40,NaN,NaN,12794389.2543683
45,NaN,12119758.8609335,NaN
50,22247394.4881517,NaN,NaN
80,NaN,NaN,12962309.2717625
90,NaN,4128103.53929753,NaN
100,13518645.9855005,NaN,9637261.37307343
150,5771607.47725638,-254671.027353846,4627054.71095579
200,2384486.65181166,704699.46994395,2697426.44951567
250,3684048.44518218,543428.888867239,NaN
300,NaN,784942.29333058,213138.298949564
350,-429894.651226143,NaN,63449.9986151633
400,1593364.40949435,411629.977628409,-1113455.8503167
500,213546.758519067,102969.872643993,-1001215.96685539
600,NaN,NaN,-420490.636562825
650,1002892.80818578,NaN,NaN
700,NaN,NaN,-166786.028733046
750,-2661588.14780717,NaN,NaN
850,NaN,NaN,-659376.233965863
950,-255660.567368895,NaN,NaN
