t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,30722612.6329839,31633235.517196,-74575.4324103515
80,26535155.1926121,NaN,NaN
95,NaN,20178602.836274,NaN
100,NaN,NaN,2550065.78874343
150,17729853.025378,NaN,NaN
200,NaN,14580879.2650485,NaN
250,11796731.4058631,NaN,1553016.03990557
300,NaN,8138747.62208719,NaN
350,6542584.1995399,NaN,728071.745324678
400,NaN,4379732.77172317,NaN
450,3230413.09788322,NaN,NaN
500,NaN,4794092.81114222,404961.369661299
550,4212369.6542224,NaN,NaN
600,NaN,NaN,260202.384969356
650,NaN,958942.02018278,NaN
700,876132.967013668,NaN,NaN
800,-748961.802544702,261412.952410246,230240.853394681
950,NaN,NaN,123509.935008848
1000,883199.759445843,962594.210713647,143832.847596108
1500,-200350.366627579,-2516552.62350977,-118947.672839792
2000,NaN,NaN,-38311.5579347514
