t,Rec_i_Obs,IL13_Rec_Obs,p_IL13_Rec_Obs,p_IL13_Rec_i_Obs,pJAK2_Obs,STAT5_Obs,pSTAT5_Obs,DecoyR_Obs,IL13_DecoyR_Obs,SOCS3_Obs
0,134.852580622225,2.00952108027424e-07,-0.000308447933829234,-0.00164400856147334,-0.0151307041467253,165.0075448065,0.0403481617170406,0.338763910746268,7.88145513534122e-05,1.552542006836
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.180709752311501,NaN,NaN
3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.185978094386936,NaN
5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.105620721026902,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.271500879035111,NaN
8,NaN,NaN,NaN,0.181297275921502,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,0.0433715985276074,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0511007195520846,NaN,NaN
9.5,NaN,1.78332128712533e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,11.8704481432148,0.0419637918393953,0.30292241976388,-0.313155056033487
15,135.737157419499,NaN,0.0393766436809735,0.164644488293533,1.03970072934089,145.99497614637,NaN,0.0135620229447152,0.32601010917575,NaN
20,NaN,1.31695718095636e-05,NaN,NaN,NaN,NaN,NaN,0.00584171745249642,0.325510861118007,NaN
25,NaN,NaN,0.0391961120814375,0.15789863541221,1.23867689753825,131.693663069848,34.2314313937664,0.00223504189695118,0.345693165606862,5.94631643073995
30,NaN,1.17060478139882e-05,NaN,NaN,NaN,NaN,NaN,0.00125677803199473,0.342049650047299,NaN
35,135.018261259289,NaN,0.037712377095711,0.152659893133073,NaN,NaN,42.873138680702,0.00176834518604476,NaN,14.8886235954705
40,NaN,1.15239141387083e-05,NaN,NaN,1.29805897695539,121.846544822809,NaN,-0.000233093074815557,0.339658053256413,NaN
45,NaN,NaN,NaN,0.149817847172633,NaN,NaN,NaN,NaN,0.343169129398306,NaN
50,NaN,NaN,0.0382610817752568,NaN,NaN,NaN,49.0274123983048,0.000304846686852669,NaN,28.9939727024399
55,135.472244253966,1.17238407071079e-05,NaN,NaN,1.27794447282861,115.277772414585,NaN,NaN,0.332748763032181,NaN
60,NaN,NaN,0.0384035098707838,0.154666384184218,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,51.4630982285117,NaN,0.34137599053915,45.8029553358328
70,NaN,1.23805824598583e-05,NaN,NaN,NaN,113.47618862695,NaN,NaN,NaN,NaN
75,138.312150615858,NaN,0.0386807081622847,0.150333887953458,1.19054443540547,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,50.2159451758698,NaN,NaN,57.4509865498837
85,NaN,NaN,NaN,NaN,NaN,118.48906761381,NaN,NaN,NaN,NaN
90,NaN,1.36673392644091e-05,0.0373987035766679,0.153096640662134,1.0975570058469,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,47.2251207042055,NaN,NaN,NaN
100,134.335400717215,1.43113987347711e-05,0.0387944469166266,0.155087316560012,1.02432436076589,117.366355478256,46.6369122543358,NaN,NaN,71.6651112820572
150,131.639508810942,NaN,NaN,NaN,0.839657707943273,125.499671840836,39.7569308732239,NaN,NaN,89.2399177360962
200,NaN,NaN,NaN,NaN,0.729038671317978,129.96988633121,35.5060633594625,NaN,NaN,97.3527962654437
250,129.954822635415,NaN,NaN,NaN,0.670757568539994,133.860062063077,32.0357278410076,NaN,NaN,103.815680727207
300,128.920329087855,NaN,NaN,NaN,0.644060099823369,134.466782624135,30.1778051114117,NaN,NaN,108.568010585676
