t,IL13_Rec_Obs,p_IL13_Rec_Obs,p_IL13_Rec_i_Obs,STAT5_Obs,SOCS3mRNA_Obs,IL13_DecoyR_Obs,SOCS3_Obs
0,8.73340557129703e-08,4.61282761105827e-05,-0.000140618994530762,168.752356205114,2.66281814302797,-0.0065891003509591,-0.320035258843585
8,NaN,0.010521033058214,NaN,NaN,NaN,0.0977531889455061,NaN
9,NaN,NaN,0.0411838318434901,NaN,NaN,NaN,NaN
10,1.54310701161922e-05,NaN,NaN,NaN,NaN,NaN,0.590795979746881
15,NaN,0.00896807434768565,NaN,157.689827191394,-0.453729613737278,0.161101009794989,NaN
20,1.04085908064104e-05,NaN,0.0368869692942841,NaN,NaN,NaN,NaN
25,NaN,0.00913862357800842,NaN,157.749868799733,NaN,0.216863036189015,2.32895384101186
30,NaN,NaN,0.0366491132096564,NaN,15.3654519063537,NaN,NaN
35,7.88497263968142e-06,0.00893329693974925,NaN,NaN,NaN,0.260794797884744,5.14544509603568
40,NaN,NaN,0.0365995987426828,148.341803559564,NaN,NaN,NaN
45,7.20844872345345e-06,NaN,NaN,NaN,41.3154184674635,0.291597745633667,NaN
50,NaN,0.00910160871815326,NaN,NaN,NaN,NaN,11.5452650054484
55,NaN,NaN,0.034978376557401,144.633369453403,NaN,0.30568963794858,NaN
60,6.98813006100105e-06,0.00926770863676708,NaN,NaN,73.8700819276234,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,21.1000596184099
70,NaN,NaN,0.0361678066565073,141.757978955196,NaN,0.326384215598732,NaN
80,7.13219810342962e-06,0.00903490588398643,NaN,NaN,117.410391197441,NaN,30.2845409110823
85,NaN,NaN,NaN,NaN,NaN,0.335680570839248,NaN
90,NaN,NaN,0.0358253603471103,141.336011900795,NaN,NaN,NaN
100,7.54359405682349e-06,0.00897915819192744,0.0366740762646643,140.878937051455,165.545586579161,0.334599583496404,40.9953884690388
150,NaN,NaN,NaN,144.515684499039,269.132955835632,0.340111522170595,61.0193517401382
200,NaN,NaN,NaN,149.901529099511,358.405336545799,NaN,73.2196580634193
250,NaN,NaN,NaN,152.889283032466,439.662816377066,NaN,80.0759155591946
300,NaN,NaN,NaN,152.464280615976,506.858777792066,NaN,85.306597066751
