t,Rec_i_Obs,p_IL13_Rec_Obs,pJAK2_Obs,SOCS3mRNA_Obs,DecoyR_Obs,IL13_DecoyR_Obs,Rec_Obs
0,136.012433579672,-0.0474930075265722,-0.0101354673967794,-0.00156940827169011,0.342361504857418,-0.0106401309547882,1.29410674028123
3,134.730586181416,0.0169344219187169,NaN,NaN,NaN,-0.00899409557411085,0.562962414879739
3.5,NaN,NaN,NaN,0.00735755627636337,NaN,NaN,NaN
4,NaN,NaN,-0.0104981937433649,NaN,NaN,NaN,NaN
6,135.971961726208,-0.0104013089524272,NaN,NaN,NaN,NaN,0.37038282474159
6.5,NaN,NaN,NaN,NaN,0.342120645735982,0.000905913972382979,NaN
7.5,NaN,NaN,NaN,0.0154125492629697,NaN,NaN,NaN
8,NaN,NaN,-0.0163458475281756,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,0.337243971849989
9.5,132.727966382829,0.0248100614927914,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.0117541365267218,NaN,0.00942138617892505,NaN
15,137.043623793612,0.0217814620537241,0.00341330201384487,0.0205671949596714,0.336474038240522,0.00476789973344385,0.299181635347644
20,136.804531236001,0.000439883595457728,-0.00653474497540506,0.00240936694066868,0.340298607697219,-0.0181312976723661,0.317567374107808
25,138.978488716734,-0.0143971734732137,0.00302852276841141,NaN,NaN,0.00489493923741855,0.316331141071534
30,136.026629549544,0.000769159952268689,0.00133750557586287,0.0204288697422356,0.34443687304476,0.0120331452700072,NaN
35,NaN,NaN,NaN,0.0070043527289904,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,0.349488505439649,NaN,NaN
