t,p_IL13_Rec_Obs,SOCS3mRNA_Obs,IL13_DecoyR_Obs
0,0.000890511127072138,-4.84782933305196,0.000695566429922383
3.5,NaN,NaN,0.324904917475251
7.5,NaN,NaN,0.341870060870483
8,0.107739926342479,NaN,NaN
10,NaN,23.6689447407464,0.343978716590883
15,0.100911407439607,NaN,0.34185368452208
20,NaN,42.7062312571,0.336690933820318
25,0.103020375823992,NaN,NaN
30,NaN,NaN,0.34178760553096
35,0.100926052882255,118.629320207738,NaN
45,NaN,197.139426126001,NaN
50,0.0994746902100977,NaN,NaN
60,NaN,289.44178475802,NaN
65,0.0988140465807432,NaN,NaN
75,NaN,387.088419550798,NaN
80,0.0971608934792828,NaN,NaN
90,NaN,480.267106890261,NaN
100,0.0969149501151666,551.741728887792,NaN
150,NaN,800.580463931403,NaN
200,NaN,1080.40008080998,NaN
250,NaN,1320.11979963068,NaN
300,NaN,1536.83485333963,NaN
