t,IPR_O_Obs,IPR_A_Obs
0,8.80666144932697e-06,0
0.2,0.00965198597169727,0.650294298870274
0.4,NaN,0.638833063131975
0.45,0.00759209394210258,NaN
0.6,NaN,0.697737610039933
0.65,0.00742922820271478,NaN
0.85,NaN,0.419708982175348
0.9,0.0107854759687971,NaN
1,0.00516649707134947,0.359652938414422
1.5,0.00790949826014021,0.31266266448555
2,0.0105522019762387,0.543255947847234
2.5,0.00724201740543481,0.293963062274448
3,0.00784615052739723,0.484187908365728
3.5,NaN,0.520192807453957
4,0.0045039805603223,NaN
