t,IPR_O_Obs,IPR_A_Obs
0,5.23968911258446e-08,0
0.15,4.01554813233234e-05,NaN
0.2,NaN,0.476367044317
0.3,1.22899908300972e-05,NaN
0.45,1.74206680065397e-05,0.46003930002136
0.65,2.00606596770289e-05,NaN
0.7,NaN,0.590593537625339
0.85,1.61354478566203e-05,NaN
0.95,NaN,0.28404138254674
1,1.3706942825146e-05,NaN
1.5,1.12356818694172e-05,0.318960634270286
2,1.64813701655562e-05,0.331588930783387
2.5,9.65525657991491e-06,0.415256103104147
3,1.14857957491203e-05,0.399994445497516
3.5,NaN,0.352732986849578
