t,IL13_Rec_Obs,Rec_Obs,Rec_i_Obs
0,-0.0178482614713368,1.22237515626098,127.014849108625
4.5,NaN,0.769198223228551,NaN
5,0.0554420120616021,NaN,NaN
6,NaN,NaN,165.088373726323
9,NaN,0.670956515602044,NaN
10,-0.038333714568223,NaN,151.040703329648
15,0.354448155811628,0.562461461182036,NaN
20,0.0185986233626604,0.883428368652897,118.289844364369
25,NaN,NaN,145.733919382493
30,-0.0977816257546784,0.678812395964886,NaN
35,0.00761241664250308,0.55655795808935,136.794223423018
45,0.0229989388526038,NaN,NaN
50,NaN,NaN,126.460141536908
60,NaN,NaN,137.745944743109
75,NaN,NaN,123.651019488469
