t,IL13_Rec_Obs,p_IL13_Rec_i_Obs,DecoyR_Obs,IL13_DecoyR_Obs
0,-1.09444725459859e-05,0.0478019120145232,0.322882770226983,0.024255867298416
4,NaN,NaN,0.230517600815358,0.172418896450665
8,NaN,NaN,0.156687774999328,0.185307454713827
10,NaN,0.312493405716568,0.135924985846337,0.243518399755315
15,4.65573967451887e-05,NaN,0.0776997294770325,0.250129044984414
20,NaN,0.341868647953683,0.0348527724852132,0.341129800039063
25,NaN,NaN,NaN,0.275221307305266
30,NaN,NaN,0.0202508710885309,NaN
35,9.08198581832313e-05,0.28257542873401,0.0277853481139105,0.25743697516626
40,NaN,NaN,0.00512160761170405,0.295629863074172
45,NaN,0.255112833325265,NaN,NaN
50,NaN,NaN,0.0010597297783773,0.338101312166703
55,6.57164774242719e-05,NaN,NaN,NaN
60,NaN,0.389891786228826,-0.0135841704019313,0.393417037375127
70,NaN,NaN,-0.0131919284264753,0.432961283675106
75,0.000119717161256674,0.257044774609599,NaN,NaN
90,NaN,0.233531976626832,NaN,NaN
100,0.000125246214958855,0.295854861506338,NaN,NaN
150,0.000169114195154361,0.289071002080656,NaN,NaN
200,0.000260044262214812,0.302159979278279,NaN,NaN
250,0.000257198780548165,0.291233079861931,NaN,NaN
300,0.000262755588614252,0.253673118616525,NaN,NaN
