t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_re_Dab1SFKInh_Obs,ApoER2_Dab1_released_Obs
0,1.6333305165181,1.48103073224532e-11,8.39190698747623e-15,0,3.39282616338753e-08
15,NaN,9.67580860996913e-15,6.80400931180579e-12,NaN,3.2151955114147e-08
25,0.773990398292578,1.11629608528993e-14,NaN,NaN,NaN
30,NaN,NaN,8.30940524424096e-12,NaN,NaN
35,NaN,NaN,NaN,0.000982431650184512,5.12504996474986e-08
40,NaN,5.58769331092094e-15,NaN,NaN,NaN
50,NaN,NaN,1.19452420956066e-11,NaN,NaN
55,0.477482174325678,8.9771941692442e-15,NaN,NaN,1.88827402458131e-07
70,NaN,NaN,7.67083033756835e-12,0.00100635434168728,NaN
75,NaN,8.85556586781726e-15,NaN,NaN,1.981064925793e-07
80,0.579730085028629,NaN,NaN,NaN,NaN
90,NaN,NaN,5.80639307991577e-12,NaN,NaN
95,NaN,5.01172300960661e-15,NaN,NaN,NaN
100,0.312507426508118,7.20569970186432e-15,6.46688010543903e-12,0.000840733600387496,2.09801300684081e-07
150,0.221777001733626,2.99321174462133e-15,1.24143167523752e-11,0.00174024656269841,2.24624246696765e-07
200,0.301829739077945,7.61820477061775e-14,5.73367229133386e-12,0.00204245156243954,NaN
250,0.188629764236846,NaN,6.15489768716613e-12,0.00192161474074084,NaN
300,0.244794012718367,NaN,NaN,0.00136552932046839,NaN
350,0.119231623381051,NaN,NaN,NaN,NaN
400,0.140718522630159,NaN,NaN,0.00201086488374883,NaN
500,0.156105873912615,NaN,NaN,0.0015183679319423,NaN
600,NaN,NaN,NaN,0.00162895546922215,NaN
