t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,1.480130300642,8.37770578038959e-12,0.00156999825640796,5.49879589290081e-08,2.80676277427762e-10
5,NaN,5.99165061340984e-12,NaN,NaN,NaN
10,NaN,9.27176657987044e-12,0.00104808101791444,9.64416501963057e-09,NaN
15,NaN,5.41363699033142e-12,NaN,NaN,NaN
20,NaN,1.10898619726737e-11,NaN,NaN,4.70553965597732e-10
25,1.73908403006936,NaN,0.00153901197357824,1.13015642636035e-08,NaN
30,NaN,8.98875030630111e-12,NaN,NaN,NaN
35,NaN,1.09323744427331e-11,0.00182075648182586,NaN,NaN
40,NaN,NaN,NaN,8.99018916304711e-09,NaN
45,1.46458982703674,7.73954873182964e-12,NaN,NaN,4.14091911111022e-10
50,NaN,NaN,0.000971293130075495,NaN,NaN
55,NaN,NaN,NaN,6.46855483056123e-09,NaN
60,NaN,8.83655317921094e-12,NaN,NaN,NaN
65,NaN,NaN,0.00188227076919195,NaN,1.33568082516169e-10
70,1.26575011664903,1.18131772878988e-11,NaN,NaN,NaN
75,NaN,NaN,NaN,7.12858759792626e-09,NaN
85,NaN,NaN,0.00124763833116131,NaN,NaN
95,NaN,NaN,NaN,5.1679807553573e-09,2.12255220575174e-10
100,1.73900828468205,NaN,0.00185623429405987,1.31019254532528e-08,4.45175947466287e-10
150,1.55001435744177,NaN,0.00113816997843241,NaN,4.18079943983492e-10
200,1.67801672127756,NaN,NaN,NaN,3.23903180167079e-10
250,2.01653632341462,NaN,NaN,NaN,1.58805184692756e-10
300,1.77422905211526,NaN,NaN,NaN,4.8890019040692e-10
350,1.43753734774614,NaN,NaN,NaN,3.5098678844715e-10
400,NaN,NaN,NaN,NaN,3.22325091228935e-10
450,2.20060941991531,NaN,NaN,NaN,NaN
550,2.39558549469747,NaN,NaN,NaN,NaN
