t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,1.3840879785488,8.90056565005797e-05,1.48433506367771e-06,0.109554515521012,0.00100555647199121
15,NaN,NaN,NaN,0.390473049957731,NaN
20,NaN,NaN,0.000299946868488628,NaN,NaN
25,0.411400022486752,NaN,NaN,NaN,0.00187048886583664
35,NaN,NaN,NaN,0.47042491845825,NaN
40,NaN,4.84850680254965e-05,0.000309907847423485,NaN,NaN
50,NaN,NaN,NaN,NaN,0.000765468396437125
55,0.580034507787334,NaN,NaN,0.368932613092142,NaN
60,NaN,NaN,0.000209764160767514,NaN,NaN
75,NaN,NaN,NaN,0.313148089013574,NaN
80,NaN,NaN,0.000105817505880434,NaN,0.00180540729758829
85,0.422417602904921,NaN,NaN,NaN,NaN
90,NaN,4.26847098935522e-05,NaN,NaN,NaN
95,NaN,NaN,NaN,0.331474283721279,NaN
100,0.469816043719554,NaN,0.000147714578115907,0.190480922429913,0.00107469722389495
150,0.512162528319868,6.89672231726219e-05,8.94062491500863e-05,0.252663939098545,0.00157152425365197
200,0.33363343360238,3.88078731955555e-05,8.70280652964341e-05,0.154863764863686,0.0015674527936421
250,0.298569312872318,5.02568662685531e-05,2.96380290772357e-05,0.101160044940098,0.00209982562195613
300,0.56690328647286,NaN,2.37251868669857e-05,NaN,NaN
350,0.304971070174648,5.9719441043363e-05,NaN,NaN,0.00223214805316452
400,0.792531202262573,NaN,NaN,NaN,NaN
450,NaN,9.67283118942379e-05,NaN,NaN,NaN
500,0.490865747644922,NaN,NaN,NaN,NaN
600,0.762227422651259,9.02307295673236e-05,NaN,NaN,NaN
