t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,pApoER2_re_Dab1_Obs,SFK_Obs
0,0.724605257526108,0.000115723925032417,9.08037253218583e-07,0.119624125464123,8.45585260771321e-07,0.00204268068985968
10,0.0251047342725026,NaN,NaN,0.720550307041942,NaN,NaN
15,NaN,NaN,0.000550651293461396,NaN,0.00218788756043829,NaN
20,0.00734782475218914,NaN,NaN,NaN,NaN,0.00073602194928399
25,NaN,6.01245624585516e-07,NaN,0.425434416508199,NaN,NaN
30,0.00890967232271996,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,0.000395133415332142,NaN,0.00268461810704539,NaN
40,NaN,NaN,NaN,0.596299371751414,NaN,0.00123837205180629
45,0.0107022167129031,NaN,NaN,NaN,NaN,NaN
50,NaN,3.64248215529327e-07,NaN,NaN,NaN,NaN
55,NaN,NaN,0.000275797569346785,0.32118306842206,0.00107885711940481,NaN
60,0.00514071497452508,NaN,NaN,NaN,NaN,0.00155533428073738
70,NaN,NaN,NaN,0.249781411004902,NaN,NaN
75,NaN,2.90211666770846e-07,0.000286387814204165,NaN,0.000348787882611708,NaN
80,0.00415929501892418,NaN,NaN,NaN,NaN,0.00180422171917918
85,NaN,NaN,NaN,0.287808664829813,NaN,NaN
95,NaN,NaN,0.000140388613754512,NaN,0.000672075072569066,NaN
100,0.0017552889198315,2.47876477123883e-07,0.00026042483578916,0.312095584714768,0.000422068939867768,0.000886491110083118
150,NaN,1.36233449726899e-07,8.43692690263457e-05,0.119388849409594,0.000300701694294325,0.00124274428085976
200,NaN,NaN,0.000102745824690633,0.151527508087059,0.000199381727169148,0.00128851181031858
250,NaN,NaN,0.000128309615008421,0.266910121261787,0.000144307010681951,0.00132580306302573
300,NaN,NaN,0.00024459225067845,NaN,NaN,0.00270589379226031
