t,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs
0,151.192494161991,-462.756023155329,-271.093585750434
2,565.201900312895,NaN,NaN
3.5,814.66197716085,325.512341961464,-18.4953181655432
6,12486.9989253145,NaN,NaN
7,NaN,20813.3521751128,646.371359562967
8,50255.63904149,NaN,NaN
10,9848.30564941714,35860.6316805393,4015.27965254437
15,1126.44333046095,14232.8046747815,7346.33256670635
20,-90.7726746631761,7049.41248048912,9609.80693661092
25,NaN,4378.62428978005,10159.9988684043
30,NaN,2972.8185685084,10698.0225243936
40,NaN,1792.10911367209,11321.9428536306
45,NaN,NaN,11857.5543788109
50,NaN,1083.5159921839,NaN
55,NaN,NaN,12072.8945931832
70,NaN,NaN,12350.5789727793
