t,STAT5_Obs,pSTAT5_Obs,SOCS3nRNA3_Obs
0,133.005381051602,2.73044561911206,1.33418822856009e-05
7,70.8052894311361,47.8020901191729,NaN
10,NaN,NaN,0.000427169407926975
15,67.980376049702,49.8015287318654,NaN
20,76.0330813923091,40.615529126104,0.000664930851164729
30,83.6584849892693,36.9387131723697,0.000614646533461846
40,81.6320893312772,30.9707793151992,NaN
45,NaN,NaN,0.000576597551797813
50,90.0528819862446,26.4343649050193,NaN
55,NaN,NaN,0.000499650935771619
60,95.9953374693358,24.3342202333647,NaN
70,NaN,NaN,0.000385425072821068
75,101.033998803687,21.4485557783942,NaN
90,99.2961041923337,18.4654952828032,0.000320707866099504
100,109.173531050184,16.9257605272122,0.000320661800837914
150,103.816159897062,13.0764826093341,0.000262530024907467
