t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,SHP1Act_Obs,p2EpoRpJAK2_Obs,SHP1_Obs
0,-0.000466925144228165,-0.000643114365087661,125.551506093259,1.1907568824529,-0.00495965564602661,1.07714173734537e-06,23.0862549575064
7.5,NaN,NaN,NaN,NaN,NaN,NaN,21.4160507835337
9.5,NaN,NaN,NaN,NaN,NaN,0.076350381057352,NaN
10,0.0776664833177244,0.0137316224652256,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,79.3030935172434,36.0595838501142,0.05310846218919,NaN,22.5235877506096
20,NaN,0.00908982309757904,NaN,NaN,NaN,0.0378204777392689,NaN
25,0.0622902893803115,NaN,NaN,NaN,0.0623184382888605,NaN,22.4246816383314
30,NaN,0.00660824148606825,89.2569827309587,28.2271199782613,NaN,0.0265172274430283,20.9749358972105
35,0.0621566817495731,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,0.0801680762502725,0.0229448441325299,21.4804495388097
45,NaN,0.00546732423118825,102.366971965816,22.9763755267323,NaN,NaN,NaN
50,0.0574824680752961,NaN,NaN,NaN,NaN,NaN,21.5465643242823
55,NaN,0.00528993115019228,NaN,NaN,NaN,0.0211748594211033,NaN
60,NaN,NaN,105.035742575072,NaN,0.0841495023426177,NaN,NaN
65,0.0568591179597449,NaN,NaN,16.2927299813075,NaN,NaN,22.7654545994063
70,NaN,0.00491930918972047,NaN,NaN,NaN,0.0183600129357918,NaN
75,NaN,NaN,NaN,NaN,0.0909940364110076,NaN,22.7234689227629
80,0.0475846716027616,NaN,114.690182817659,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,15.0944363720404,NaN,0.017807202313106,NaN
90,NaN,0.00439247538666595,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.0974183183912294,NaN,21.5385207698504
100,0.0512065563247608,0.00508748555955319,109.303265060877,11.6257323016081,0.0941774391053246,0.0209096263344172,19.7087440116793
150,0.049402098039674,0.00451673923788683,104.757266460014,9.536433399298,0.0944352318937664,0.0172807207209768,21.7819346084699
200,0.0456587887598713,NaN,106.127497029854,8.27081539550412,0.0967164868225809,NaN,NaN
250,NaN,NaN,129.124479362791,7.56048318707131,NaN,NaN,NaN
300,NaN,NaN,106.993241929514,8.5891702833859,NaN,NaN,NaN
