t,p1EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.00090595200600636,122.725602364046,-1.23533335396145,2.35492318548893,0.0847391116479979,-4.14219455470434e-06,-5.39012819184183e-06,-8.2790268271222e-06,0.000723027770114221,0.0566444877040185
6,0.0235576881508986,113.397880391427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,1.55468256070747,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,13.3743045754311,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0118936526833264
10,NaN,108.922133753104,NaN,NaN,0.0696187537688354,0.000106389368872303,9.91427788638291e-05,8.92106400793949e-05,0.000647255529029874,NaN
15,0.0100386616173279,NaN,14.4758598485518,5.96050619602271,NaN,NaN,NaN,NaN,NaN,NaN
20,0.00797096619869052,116.930968198048,NaN,14.9800402702566,-0.109875241964077,NaN,0.000192419492448213,0.00018606184450987,0.00192908146445784,0.27535489287964
25,0.00705172147591324,99.7527759001356,14.3727131578264,29.3938518294064,NaN,0.000223080759767581,NaN,NaN,NaN,NaN
30,NaN,NaN,12.7378288185796,NaN,0.173708855619338,NaN,NaN,0.000226815043983678,NaN,0.440711100725668
35,0.0057072432729723,101.910614432422,NaN,51.4930980252686,NaN,0.000221386660770375,0.000208281897782019,NaN,0.00528242630340314,NaN
40,NaN,109.736610721233,10.6146881981497,NaN,0.391130306217618,NaN,NaN,NaN,NaN,0.588302593339262
45,0.00443133169073459,NaN,NaN,55.9388792817642,NaN,NaN,0.000201408009343171,0.000184534641953636,0.00672382906490733,NaN
50,NaN,112.635293793372,NaN,NaN,NaN,0.000190947837538872,NaN,NaN,NaN,0.71294921095122
55,0.00565515904872419,NaN,11.1421210133214,58.0062540256594,0.828442763863985,NaN,NaN,NaN,NaN,NaN
60,NaN,111.796150879431,NaN,NaN,NaN,NaN,0.000167216994015956,0.000164526889478961,0.00815645662447743,NaN
65,NaN,NaN,9.82455106812168,NaN,NaN,0.000162953206672478,NaN,NaN,NaN,0.991527480121448
70,0.00486499950974135,111.339392169253,NaN,48.582740770683,1.13071160769054,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000157060284092924,0.0103566802680287,NaN
80,NaN,NaN,NaN,43.8087278006398,NaN,0.000145862388106019,0.000132440253422152,NaN,NaN,1.04635472615168
85,0.00414180425210536,104.563196467813,8.21928743658118,NaN,1.4496105046703,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000133853045492143,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0110582086642201,NaN
100,0.00354441173586503,108.423762574445,7.75333381057556,40.6584071311251,1.77595923819277,0.000121456756249896,0.000120892013620509,0.000124901825820558,0.0106452008101259,1.10337198720652
150,NaN,127.495011434408,6.00763552827069,27.6872452021774,2.48872621805161,0.00011598479601722,0.000114566376185566,9.32839851835259e-05,0.0108209817530253,1.04455315905994
200,NaN,NaN,NaN,NaN,2.56807283584615,9.53750653325844e-05,0.000108162556819928,NaN,0.0106442313502814,0.986004581479848
