t,STAT5_Obs,pSTAT5_Obs,CISnRNA3_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3_Obs
0,116.390082764303,0.0097759651218955,0.112869535968272,0.00192089846045009,1.05322284050758e-07,2.84972646702014e-07,85.3604001532075
5,120.281324148708,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,89.3182073653862
10,129.947831831026,0.0964487491700362,NaN,NaN,NaN,NaN,NaN
15,128.043873458975,NaN,0.116963373279441,0.0032118389715309,1.1024701550415e-06,7.83914482368073e-07,NaN
20,130.34814175767,NaN,NaN,NaN,NaN,NaN,88.5608901732583
25,NaN,0.20920963100042,0.243089069662919,NaN,NaN,2.39087790018446e-06,NaN
30,135.166171286474,NaN,NaN,0.00334127433429761,3.11378117830026e-06,NaN,90.9747142715669
35,121.85025359899,0.240388928511899,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,0.747623954736759,NaN,NaN,3.10563342170536e-06,83.2359291825338
45,127.772542034661,NaN,NaN,0.00332021447700648,3.41691104212332e-06,NaN,NaN
50,103.154832794394,0.263236923130843,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,0.932040806283839,NaN,NaN,3.72559615378279e-06,77.6077694412236
60,110.309559009997,NaN,NaN,NaN,3.42965645182085e-06,NaN,NaN
65,NaN,0.237669348593043,NaN,0.0156527365580876,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,3.54110766723582e-06,87.7751558793744
75,121.352974556649,NaN,1.02684581793343,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,3.5997336242367e-06,NaN,NaN
85,NaN,0.207807844988078,NaN,0.0208702532934796,NaN,NaN,88.8302755431973
90,125.532108538408,NaN,NaN,NaN,NaN,3.66062770354798e-06,NaN
95,NaN,NaN,1.01792960172904,NaN,NaN,NaN,NaN
100,NaN,0.203425861415372,0.971006027461038,0.0301089169229289,3.58400250331139e-06,3.26771078893062e-06,88.9292581774664
150,NaN,0.225168886389473,0.973541874592918,0.0497577132971308,3.11635321061767e-06,3.39945812082169e-06,86.7102268504598
200,NaN,0.208120996671364,0.906129702205487,0.0665117436620171,2.85428208358082e-06,2.81894065831288e-06,NaN
250,NaN,NaN,0.787165621403591,0.0766787220910099,3.51800434008412e-06,3.11968212149907e-06,NaN
300,NaN,NaN,NaN,0.0803391944118303,NaN,NaN,NaN
